iter	Passed	Remaining
0	4	4452
1	8	4062
2	11	3867
3	14	3698
4	18	3672
5	21	3635
6	25	3615
7	28	3594
8	32	3592
9	36	3568
10	39	3542
11	42	3513
12	46	3499
13	49	3489
14	53	3480
15	56	3470
16	59	3453
17	63	3444
18	66	3422
19	69	3404
20	72	3394
21	76	3415
22	80	3403
23	83	3399
24	86	3391
25	90	3385
26	93	3376
27	97	3385
28	101	3402
29	107	3475
30	111	3498
31	115	3495
32	119	3487
33	122	3484
34	125	3456
35	128	3446
36	131	3429
37	137	3475
38	141	3475
39	144	3465
40	150	3511
41	153	3503
42	156	3488
43	160	3488
44	164	3491
45	168	3484
46	171	3481
47	174	3469
48	178	3457
49	182	3460
50	185	3451
51	188	3436
52	191	3422
53	194	3409
54	196	3380
55	200	3381
56	203	3370
57	206	3357
58	209	3346
59	213	3337
60	216	3327
61	219	3316
62	222	3308
63	225	3299
64	228	3292
65	232	3283
66	234	3262
67	237	3256
68	240	3246
69	243	3240
70	248	3248
71	252	3249
72	260	3301
73	265	3326
74	269	3321
75	272	3317
76	275	3307
77	278	3297
78	281	3287
79	284	3276
80	287	3266
81	290	3256
82	293	3247
83	297	3240
84	300	3232
85	303	3224
86	306	3217
87	308	3197
88	311	3188
89	314	3180
90	316	3162
91	319	3155
92	322	3147
93	326	3142
94	328	3133
95	332	3126
96	335	3119
97	338	3112
98	341	3106
99	344	3100
100	347	3094
101	351	3090
102	354	3087
103	357	3083
104	360	3076
105	364	3072
106	367	3068
107	371	3065
108	374	3057
109	377	3052
110	380	3048
111	384	3045
112	387	3043
113	391	3039
114	394	3033
115	397	3030
116	401	3026
117	404	3022
118	407	3018
119	411	3014
120	414	3010
121	417	3005
122	420	3000
123	423	2991
124	426	2985
125	429	2980
126	433	2977
127	436	2973
128	439	2968
129	443	2965
130	446	2963
131	450	2959
132	453	2956
133	456	2952
134	460	2950
135	463	2946
136	467	2943
137	470	2939
138	473	2931
139	476	2927
140	479	2923
141	483	2919
142	486	2915
143	489	2912
144	493	2909
145	496	2905
146	500	2902
147	503	2899
148	507	2896
149	510	2893
150	513	2889
151	517	2886
152	520	2883
153	524	2881
154	527	2878
155	531	2874
156	534	2871
157	538	2867
158	541	2864
159	544	2861
160	548	2857
161	551	2853
162	554	2848
163	558	2844
164	561	2841
165	563	2833
166	567	2829
167	570	2825
168	573	2821
169	576	2816
170	578	2806
171	582	2802
172	585	2798
173	588	2795
174	592	2792
175	595	2788
176	599	2785
177	602	2782
178	605	2776
179	608	2773
180	612	2770
181	615	2765
182	618	2760
183	621	2756
184	624	2750
185	627	2747
186	631	2744
187	634	2741
188	638	2738
189	641	2735
190	644	2730
191	647	2726
192	650	2722
193	653	2716
194	656	2711
195	659	2705
196	662	2701
197	665	2696
198	668	2691
199	671	2686
200	674	2681
201	678	2678
202	681	2674
203	684	2670
204	687	2665
205	690	2660
206	693	2655
207	696	2652
208	700	2649
209	703	2645
210	706	2642
211	710	2642
212	713	2637
213	717	2636
214	720	2631
215	724	2628
216	727	2623
217	730	2620
218	733	2617
219	737	2613
220	740	2608
221	743	2604
222	746	2600
223	749	2596
224	752	2592
225	755	2587
226	758	2582
227	761	2577
228	764	2572
229	767	2567
230	770	2564
231	773	2559
232	776	2557
233	780	2554
234	783	2550
235	786	2547
236	789	2542
237	792	2538
238	795	2534
239	798	2528
240	801	2523
241	804	2519
242	807	2515
243	810	2511
244	813	2506
245	816	2502
246	819	2498
247	822	2493
248	825	2489
249	828	2484
250	831	2480
251	834	2476
252	837	2473
253	841	2470
254	844	2467
255	847	2464
256	851	2460
257	853	2455
258	856	2451
259	859	2446
260	862	2442
261	865	2438
262	869	2435
263	872	2431
264	875	2427
265	878	2422
266	880	2418
267	883	2413
268	886	2409
269	889	2405
270	893	2402
271	896	2398
272	899	2395
273	903	2392
274	906	2389
275	909	2385
276	912	2381
277	915	2377
278	918	2374
279	921	2370
280	925	2367
281	928	2363
282	931	2360
283	934	2357
284	938	2353
285	941	2349
286	944	2345
287	947	2341
288	950	2337
289	953	2333
290	956	2330
291	959	2326
292	962	2323
293	965	2319
294	968	2314
295	971	2310
296	974	2306
297	977	2302
298	980	2298
299	983	2294
300	986	2290
301	989	2286
302	992	2282
303	995	2278
304	998	2275
305	1001	2271
306	1004	2267
307	1007	2262
308	1010	2258
309	1013	2255
310	1016	2251
311	1018	2246
312	1021	2242
313	1024	2237
314	1027	2233
315	1030	2229
316	1033	2226
317	1036	2223
318	1039	2219
319	1042	2215
320	1044	2208
321	1047	2205
322	1050	2202
323	1054	2199
324	1057	2196
325	1060	2192
326	1063	2188
327	1066	2185
328	1070	2182
329	1073	2179
330	1076	2176
331	1079	2172
332	1082	2168
333	1085	2164
334	1088	2160
335	1091	2157
336	1094	2153
337	1097	2150
338	1100	2146
339	1103	2142
340	1107	2139
341	1110	2135
342	1112	2131
343	1115	2127
344	1118	2124
345	1122	2120
346	1125	2117
347	1128	2113
348	1131	2109
349	1134	2106
350	1137	2102
351	1139	2098
352	1142	2094
353	1145	2090
354	1148	2086
355	1151	2082
356	1154	2078
357	1157	2075
358	1160	2071
359	1163	2067
360	1166	2064
361	1169	2060
362	1172	2057
363	1175	2053
364	1177	2049
365	1180	2045
366	1183	2041
367	1186	2037
368	1189	2033
369	1192	2030
370	1195	2026
371	1198	2022
372	1200	2018
373	1203	2015
374	1206	2011
375	1209	2007
376	1212	2004
377	1215	2000
378	1219	1997
379	1222	1994
380	1224	1989
381	1227	1985
382	1230	1982
383	1233	1978
384	1236	1974
385	1239	1971
386	1242	1967
387	1245	1963
388	1248	1960
389	1250	1956
390	1253	1952
391	1256	1949
392	1259	1945
393	1262	1942
394	1265	1939
395	1269	1935
396	1272	1932
397	1275	1929
398	1278	1925
399	1281	1922
400	1284	1919
401	1288	1916
402	1291	1912
403	1293	1908
404	1296	1904
405	1299	1901
406	1302	1897
407	1305	1894
408	1308	1890
409	1311	1887
410	1315	1884
411	1318	1881
412	1321	1878
413	1324	1875
414	1328	1872
415	1331	1869
416	1334	1866
417	1338	1863
418	1341	1860
419	1344	1857
420	1348	1853
421	1351	1850
422	1354	1847
423	1357	1844
424	1360	1841
425	1363	1837
426	1366	1834
427	1369	1830
428	1372	1827
429	1375	1823
430	1378	1820
431	1382	1817
432	1384	1813
433	1387	1809
434	1390	1806
435	1393	1802
436	1396	1798
437	1399	1795
438	1401	1791
439	1405	1788
440	1408	1784
441	1411	1781
442	1414	1777
443	1417	1774
444	1420	1771
445	1423	1768
446	1426	1765
447	1429	1761
448	1432	1758
449	1435	1754
450	1438	1751
451	1441	1747
452	1444	1744
453	1447	1741
454	1451	1738
455	1454	1734
456	1456	1731
457	1460	1727
458	1463	1724
459	1466	1721
460	1469	1717
461	1471	1714
462	1474	1710
463	1478	1707
464	1481	1703
465	1483	1700
466	1486	1696
467	1489	1693
468	1492	1689
469	1496	1687
470	1498	1683
471	1501	1680
472	1505	1677
473	1508	1673
474	1511	1670
475	1513	1666
476	1517	1663
477	1520	1660
478	1523	1657
479	1526	1653
480	1529	1650
481	1532	1647
482	1535	1643
483	1538	1640
484	1541	1637
485	1544	1633
486	1548	1630
487	1551	1627
488	1554	1623
489	1557	1620
490	1560	1617
491	1563	1613
492	1566	1611
493	1570	1608
494	1573	1604
495	1576	1601
496	1579	1598
497	1582	1595
498	1585	1591
499	1588	1588
500	1592	1586
501	1598	1585
502	1601	1582
503	1604	1579
504	1607	1575
505	1610	1572
506	1614	1570
507	1619	1568
508	1622	1564
509	1625	1561
510	1628	1558
511	1631	1554
512	1634	1551
513	1637	1547
514	1640	1544
515	1643	1541
516	1646	1537
517	1649	1534
518	1652	1531
519	1655	1528
520	1657	1524
521	1660	1520
522	1663	1517
523	1666	1514
524	1670	1511
525	1673	1507
526	1676	1504
527	1679	1501
528	1681	1497
529	1684	1494
530	1687	1490
531	1690	1487
532	1693	1484
533	1696	1480
534	1699	1477
535	1702	1473
536	1705	1470
537	1708	1467
538	1711	1463
539	1714	1460
540	1717	1457
541	1720	1453
542	1723	1450
543	1726	1447
544	1729	1444
545	1732	1440
546	1735	1437
547	1740	1435
548	1743	1431
549	1746	1428
550	1750	1426
551	1754	1423
552	1756	1420
553	1760	1416
554	1763	1413
555	1766	1410
556	1769	1407
557	1773	1404
558	1776	1401
559	1779	1397
560	1782	1394
561	1785	1391
562	1787	1387
563	1790	1384
564	1794	1381
565	1797	1378
566	1800	1375
567	1803	1371
568	1806	1368
569	1809	1364
570	1812	1361
571	1815	1358
572	1817	1354
573	1820	1351
574	1823	1347
575	1826	1344
576	1829	1341
577	1832	1337
578	1834	1334
579	1837	1330
580	1840	1327
581	1844	1324
582	1847	1321
583	1850	1317
584	1853	1314
585	1856	1311
586	1859	1307
587	1862	1304
588	1864	1301
589	1867	1298
590	1870	1294
591	1873	1291
592	1876	1287
593	1879	1284
594	1882	1281
595	1885	1277
596	1888	1274
597	1891	1271
598	1894	1268
599	1897	1265
600	1900	1261
601	1903	1258
602	1905	1254
603	1908	1251
604	1911	1248
605	1914	1244
606	1917	1241
607	1920	1238
608	1923	1235
609	1926	1231
610	1929	1228
611	1932	1225
612	1935	1222
613	1938	1218
614	1941	1215
615	1944	1212
616	1948	1209
617	1951	1206
618	1954	1203
619	1971	1208
620	1974	1205
621	1977	1201
622	1980	1198
623	1983	1195
624	1986	1191
625	1989	1188
626	1992	1185
627	1995	1182
628	1998	1178
629	2001	1175
630	2004	1172
631	2010	1170
632	2013	1167
633	2016	1163
634	2019	1160
635	2023	1157
636	2026	1154
637	2029	1151
638	2032	1148
639	2036	1145
640	2040	1143
641	2043	1139
642	2046	1136
643	2049	1133
644	2052	1129
645	2055	1126
646	2059	1123
647	2062	1120
648	2065	1117
649	2073	1116
650	2075	1112
651	2079	1109
652	2082	1106
653	2085	1103
654	2088	1100
655	2091	1096
656	2094	1093
657	2096	1089
658	2099	1086
659	2102	1083
660	2106	1080
661	2113	1079
662	2116	1075
663	2119	1072
664	2122	1069
665	2125	1066
666	2128	1062
667	2131	1059
668	2135	1056
669	2137	1052
670	2140	1049
671	2143	1046
672	2146	1042
673	2149	1039
674	2152	1036
675	2155	1032
676	2157	1029
677	2160	1026
678	2163	1023
679	2166	1019
680	2169	1016
681	2173	1013
682	2176	1010
683	2179	1006
684	2182	1003
685	2185	1000
686	2188	997
687	2191	993
688	2195	990
689	2198	987
690	2201	984
691	2204	981
692	2208	978
693	2211	974
694	2214	971
695	2217	968
696	2220	965
697	2223	961
698	2226	958
699	2229	955
700	2232	952
701	2235	948
702	2238	945
703	2240	942
704	2243	938
705	2246	935
706	2249	932
707	2253	929
708	2256	925
709	2258	922
710	2262	919
711	2265	916
712	2268	913
713	2272	910
714	2275	906
715	2278	903
716	2282	900
717	2285	897
718	2289	894
719	2291	891
720	2295	888
721	2298	884
722	2300	881
723	2304	878
724	2307	875
725	2310	872
726	2313	868
727	2316	865
728	2319	862
729	2322	858
730	2325	855
731	2328	852
732	2331	849
733	2334	845
734	2337	842
735	2340	839
736	2343	836
737	2346	833
738	2350	830
739	2353	826
740	2357	823
741	2360	820
742	2363	817
743	2366	814
744	2370	811
745	2373	808
746	2376	804
747	2380	801
748	2383	798
749	2386	795
750	2389	792
751	2392	789
752	2396	785
753	2399	782
754	2402	779
755	2406	776
756	2409	773
757	2412	770
758	2416	767
759	2419	764
760	2422	760
761	2425	757
762	2428	754
763	2431	751
764	2434	747
765	2438	744
766	2441	741
767	2444	738
768	2447	735
769	2451	732
770	2454	729
771	2457	725
772	2460	722
773	2463	719
774	2466	716
775	2469	712
776	2472	709
777	2475	706
778	2478	703
779	2482	700
780	2485	696
781	2488	693
782	2491	690
783	2494	687
784	2498	684
785	2501	681
786	2504	677
787	2507	674
788	2510	671
789	2513	668
790	2516	664
791	2519	661
792	2522	658
793	2525	655
794	2528	651
795	2531	648
796	2534	645
797	2537	642
798	2540	639
799	2544	636
800	2547	632
801	2550	629
802	2553	626
803	2556	623
804	2560	620
805	2563	617
806	2566	613
807	2570	610
808	2573	607
809	2577	604
810	2580	601
811	2583	598
812	2587	595
813	2590	592
814	2594	588
815	2597	585
816	2600	582
817	2604	579
818	2607	576
819	2610	573
820	2613	569
821	2617	566
822	2620	563
823	2623	560
824	2627	557
825	2630	554
826	2633	550
827	2636	547
828	2640	544
829	2643	541
830	2647	538
831	2650	535
832	2654	532
833	2657	528
834	2660	525
835	2663	522
836	2666	519
837	2669	516
838	2672	512
839	2675	509
840	2678	506
841	2681	503
842	2684	499
843	2687	496
844	2690	493
845	2693	490
846	2696	487
847	2699	483
848	2702	480
849	2705	477
850	2708	474
851	2711	471
852	2714	467
853	2717	464
854	2720	461
855	2724	458
856	2727	455
857	2731	452
858	2734	448
859	2737	445
860	2741	442
861	2744	439
862	2748	436
863	2751	433
864	2755	430
865	2758	426
866	2762	423
867	2765	420
868	2768	417
869	2771	414
870	2775	411
871	2778	407
872	2781	404
873	2785	401
874	2788	398
875	2791	395
876	2795	392
877	2798	388
878	2802	385
879	2805	382
880	2808	379
881	2812	376
882	2815	373
883	2818	369
884	2822	366
885	2825	363
886	2828	360
887	2832	357
888	2835	354
889	2838	350
890	2841	347
891	2845	344
892	2848	341
893	2852	338
894	2855	334
895	2858	331
896	2862	328
897	2864	325
898	2868	322
899	2871	319
900	2874	315
901	2878	312
902	2881	309
903	2885	306
904	2888	303
905	2891	300
906	2894	296
907	2898	293
908	2901	290
909	2904	287
910	2907	284
911	2910	280
912	2914	277
913	2917	274
914	2920	271
915	2924	268
916	2927	264
917	2931	261
918	2934	258
919	2937	255
920	2941	252
921	2944	249
922	2947	245
923	2951	242
924	2954	239
925	2957	236
926	2960	233
927	2963	229
928	2966	226
929	2969	223
930	2972	220
931	2974	217
932	2977	213
933	2980	210
934	2984	207
935	2987	204
936	2990	201
937	2994	197
938	2997	194
939	2999	191
940	3003	188
941	3006	185
942	3009	181
943	3013	178
944	3016	175
945	3019	172
946	3023	169
947	3026	166
948	3029	162
949	3033	159
950	3036	156
951	3039	153
952	3043	150
953	3046	146
954	3049	143
955	3053	140
956	3056	137
957	3059	134
958	3063	130
959	3066	127
960	3069	124
961	3073	121
962	3076	118
963	3079	115
964	3083	111
965	3086	108
966	3089	105
967	3093	102
968	3096	99
969	3099	95
970	3103	92
971	3106	89
972	3110	86
973	3113	83
974	3116	79
975	3119	76
976	3123	73
977	3126	70
978	3130	67
979	3133	63
980	3136	60
981	3140	57
982	3143	54
983	3146	51
984	3150	47
985	3153	44
986	3156	41
987	3160	38
988	3163	35
989	3166	31
990	3170	28
991	3173	25
992	3177	22
993	3180	19
994	3183	15
995	3187	12
996	3190	9
997	3193	6
998	3197	3
999	3200	0
